ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Type_of_Issuer,Use_of_Proceed,Principal_Currency,F1985,F1986,F1987,F1990,F1991,F1992,F1993,F1994,F1999,F2000,F2002,F2003,F2004,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
37,Georgia,GE,GEO,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,
38,Germany,DE,DEU,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,0.0291793,0.0350152,0.0175076,,,0.0272179,,0.3497523,,,0.1060704,,,,,0.3237888,3.665206,6.763669,4.25597,8.028337,6.297859,20.82321,43.61738,74.3857,83.84019
39,Germany,DE,DEU,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,16.97127,20.15338,5.30352
40,Greece,GR,GRC,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.1591056,0.5303521,1.5062,0.2439619
41,Guernsey,GG,GGY,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.0237296,0.5361484,0.0506776,
42,Hungary,HU,HUN,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02082,0.9449615,3.300555
43,Hungary,HU,HUN,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,1.737899,0.5151408,2.358886
44,Iceland,IS,ISL,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6934966,0.9546337,0.3182112
45,India,IN,IND,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,0.7316662,0.5884005,1.952423,,3.537979,0.9358982,5.167678,1.241435
46,Indonesia,ID,IDN,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2.532542,1.594399,1.85055,2.127547,5.026204
47,Ireland,IE,IRL,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,0.1085305,,,,,,,,,,,,7.264566,1.272845,2.168772,9.150518,5.683268
48,Ireland,IE,IRL,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,7.263797,,,,
49,Israel,IL,ISR,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
50,Italy,IT,ITA,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,0.0481737,0.0261028,,,,,,,,,,,0.5453959,,0.397764,1.784517,2.127103,6.153104,6.171103,23.6191,19.03811
51,Italy,IT,ITA,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31951,8.485633
52,Japan,JP,JPN,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,0.269824,0.8237888,1.073421,1.354258,3.819505,7.269915,8.098198,16.06945,22.97434
53,Jersey,JE,JEY,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,1.060704,0.115,0.3712464,
54,"Korea, Rep. of",KR,KOR,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0.5,,,1.4,0.3778532,3.791831,7.938034,3.741888,25.59142,16.30687
55,"Korea, Rep. of",KR,KOR,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.7424929,
56,Lao People's Dem. Rep.,LA,LAO,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2461845
57,Latvia,LV,LVA,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,0.1054596,0.0263649,0.0212141,,,,0.1584948,0.1060704
58,Liechtenstein,LI,LIE,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.1062925,0.1062925,0.6364225,
59,Lithuania,LT,LTU,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.3182112,0.3903391,0.0212141,,0.037261,
60,Lithuania,LT,LTU,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0.0721279,,,,
61,Luxembourg,LU,LUX,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,0.011359,,,,,,,,,,,2.789648,3.037225,1.17607,1.999048,4.504428,10.17977,6.620316
