ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Type_of_Issuer,Use_of_Proceed,Principal_Currency,F1985,F1986,F1987,F1990,F1991,F1992,F1993,F1994,F1999,F2000,F2002,F2003,F2004,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
79,"Poland, Rep. of",PL,POL,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,0.7909473,,1.060704,2.323413,0.2251796,1.094481,0.5303521
80,"Poland, Rep. of",PL,POL,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,0.7909473,,1.060704,2.121408,,,
81,Portugal,PT,PRT,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,1.177076,1.591056,2.227479,1.006753
82,Romania,RO,ROU,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4527997,0.1514041
83,Russian Federation,RU,RUS,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.0040601,1.334748,1.588684,0.8606164
84,"Serbia, Rep. of",RS,SRB,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.121408,
85,"Serbia, Rep. of",RS,SRB,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.121408,
86,Seychelles,SC,SYC,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,
87,Seychelles,SC,SYC,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,
88,Singapore,SG,SGP,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,1.072743,0.0499223,2.646986,1.3683,5.855066,6.721348
89,Singapore,SG,SGP,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.782134
90,Slovak Rep.,SK,SVK,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4242816,0.908893
91,"Slovenia, Rep. of",SI,SVN,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0.0795528,,,,
92,South Africa,ZA,ZAF,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,0.0792241,,,0.0543375,0.0597712,0.1491384,0.2,0.06602,0.6101584
93,Spain,ES,ESP,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,1.158936,,3.277045,4.758106,4.076645,7.246918,9.730041,22.31164,13.16332
94,Spain,ES,ESP,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.705315,
95,Sweden,SE,SWE,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0.171308,1.251038,1.510763,3.413522,4.370183,6.457836,12.59613,14.02406,16.98899,15.77147
96,Sweden,SE,SWE,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,3.849078,,
97,Switzerland,CH,CHE,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,0.1085305,0.1681426,0.1097454,,,0.1080614,,,,,,,,,,,0.1603249,0.8550663,0.7436262,0.718365,2.627311,1.104104,2.110945,2.891872
98,Switzerland,CH,CHE,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.139429
99,Taiwan Province of China,TW,TWN,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.5328262,0.7074085,0.8806769,1.356076,0.8217786,2.075102
100,Thailand,TH,THA,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0.0957143,0.6580137,0.6745148,0.8207527,0.7936478
101,"Türkiye, Rep. of",TR,TUR,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,1.884246,0.0132502
102,Ukraine,UA,UKR,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,
103,United Arab Emirates,AE,ARE,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,0.35,1,0.587,,0.07,0.0956145,0.5800425,3.653779
104,United Kingdom,GB,GBR,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0.3680598,0.3015499,0.7876346,0.80155,2.101579,7.767468,3.968181,4.808441,55.19447,7.899904
105,United Kingdom,GB,GBR,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.80954,
106,United States,US,USA,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,0.025,,,,,,,,,,,0.013609,,,,,,,,0.5,2.1438,8.262994,5.989511,5.46376,8.877655,25.258,30.58385,56.52536,28.51972
107,Vietnam,VN,VNM,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,0.1496367,,,,,0.2,
108,World,,WLD,Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,0.055,0.3,0.0751202,0,0.0291793,0.1435457,0.1856502,0.1097454,0.0481737,0.0533208,0.1476851,0.40466,0.1085305,1.464115,0.4772156,0.8899977,2.648601,0.7783703,2.417071,12.43554,30.77104,47.59378,99.57473,139.1618,163.8557,284.1636,302.4334,652.9819,540.9196
109,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Argentinian Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05e-05
110,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Argentinian Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0240006
111,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Argentinian Unidades de Valor Adquisitivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
112,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Argentinian Unidades de Valor Adquisitivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
113,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Australian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121833
114,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Australian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82952
115,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Bangladeshi Taka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001695
116,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Bangladeshi Taka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3870968
117,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Brazilian Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021394
118,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Brazilian Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.886899
119,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,British Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0320588
120,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,British Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.22969
121,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Canadian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0232483
122,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Canadian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.10439
123,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Chilean Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36e-05
124,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Chilean Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0311282
125,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Chilean Unidad de Fomento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.39e-05
126,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Chilean Unidad de Fomento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214465
127,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Chinese Yuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1424429
128,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Chinese Yuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.3719
129,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Colombian Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004137
130,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Colombian Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9448879
131,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Czech Koruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36e-05
132,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Czech Koruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0766765
133,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Danish Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0088779
134,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Danish Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2791
135,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Deutsche Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58e-05
136,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Deutsche Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0817021
137,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4273384
138,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.1378
139,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,European Currency Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
140,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,European Currency Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
141,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Fijian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95e-05
142,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Fijian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0445
143,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Hong Kong Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033748
144,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Hong Kong Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.708855
145,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Hungarian Forint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009425
146,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Hungarian Forint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.152793
147,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Icelandic Krona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003036
148,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Icelandic Krona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6934966
149,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Indian Rupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014351
150,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Indian Rupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.278168
